aligner	DEsoftware	direction	ID
bowtie2	deseq2	down	FBtr0333020
bowtie2	deseq2	down	FBtr0333625
bowtie2	deseq2	down	FBtr0333662
bowtie2	deseq2	down	FBtr0333671
bowtie2	deseq2	down	FBtr0334067
bowtie2	deseq2	down	FBtr0334282
bowtie2	deseq2	down	FBtr0334327
bowtie2	deseq2	down	FBtr0334328
bowtie2	deseq2	down	FBtr0334553
bowtie2	deseq2	down	FBtr0334762
bowtie2	deseq2	down	FBtr0334867
bowtie2	deseq2	down	FBtr0335013
bowtie2	deseq2	down	FBtr0335024
bowtie2	deseq2	down	FBtr0335206
bowtie2	deseq2	down	FBtr0336616
bowtie2	deseq2	down	FBtr0336736
bowtie2	deseq2	down	FBtr0336759
bowtie2	deseq2	down	FBtr0337056
bowtie2	deseq2	down	FBtr0339081
bowtie2	deseq2	down	FBtr0339234
bowtie2	deseq2	down	FBtr0339407
bowtie2	deseq2	down	FBtr0339593
bowtie2	deseq2	down	FBtr0339643
bowtie2	deseq2	down	FBtr0340289
bowtie2	deseq2	down	FBtr0340709
bowtie2	deseq2	down	FBtr0342811
bowtie2	deseq2	down	FBtr0342815
bowtie2	deseq2	down	FBtr0343095
bowtie2	deseq2	down	FBtr0343358
bowtie2	deseq2	down	FBtr0343424
bowtie2	deseq2	down	FBtr0343504
bowtie2	deseq2	down	FBtr0344179
bowtie2	deseq2	down	FBtr0344980
bowtie2	deseq2	down	FBtr0345142
bowtie2	deseq2	down	FBtr0345204
bowtie2	deseq2	down	FBtr0345487
bowtie2	deseq2	down	FBtr0346632
bowtie2	deseq2	down	FBtr0347553
